date,time,symbol,strike,option_type,open,high,low,close,volume,ema5,ema25,vwap,signal_fired
2026-06-30,2026-06-30 10:40:00+05:30,NIFTY30JUN2623800CE,23800,CE,120.95,122.0,107.5,118.4,51611.0,120.65322026645951,139.43708893011242,123.8655838689594,
2026-06-30,2026-06-30 10:45:00+05:30,NIFTY30JUN2623800CE,23800,CE,118.7,142.65,112.8,141.15,56783.0,127.48548017763969,139.5688513201038,124.30250606563068,
2026-06-30,2026-06-30 10:50:00+05:30,NIFTY30JUN2623800CE,23800,CE,141.1,147.8,127.05,128.0,68149.0,127.65698678509312,138.6789396800958,124.89330152004844,
2026-06-30,2026-06-30 10:55:00+05:30,NIFTY30JUN2623800CE,23800,CE,128.0,135.85,101.4,102.45,66609.0,119.25465785672876,135.89209816624228,124.25560347918426,
2026-06-30,2026-06-30 11:00:00+05:30,NIFTY30JUN2623800CE,23800,CE,102.8,116.35,98.0,104.4,87757.0,114.30310523781918,133.46962907653133,123.04540383063468,
2026-06-30,2026-06-30 11:05:00+05:30,NIFTY30JUN2623800CE,23800,CE,104.4,119.0,102.5,116.4,44844.0,115.00207015854612,132.15658068602892,122.69966885374002,
2026-06-30,2026-06-30 11:10:00+05:30,NIFTY30JUN2623800CE,23800,CE,116.75,166.0,114.95,159.4,141240.0,129.80138010569743,134.25222832556517,124.97992659856322,
2026-06-30,2026-06-30 11:15:00+05:30,NIFTY30JUN2623800CE,23800,CE,159.4,162.45,141.2,153.05,43644.0,137.55092007046497,135.69821076206017,125.75461173400544,
2026-06-30,2026-06-30 11:20:00+05:30,NIFTY30JUN2623800CE,23800,CE,153.45,221.65,147.5,220.6,96209.0,165.23394671364332,142.22911762651708,129.9310911226008,
2026-06-30,2026-06-30 11:25:00+05:30,NIFTY30JUN2623800CE,23800,CE,220.75,221.95,192.15,194.3,37695.0,174.92263114242888,146.234570116785,131.57656836791966,
2026-06-30,2026-06-30 11:30:00+05:30,NIFTY30JUN2623800CE,23800,CE,193.6,198.7,157.6,163.8,44396.0,171.21508742828593,147.58575703087843,132.65920746301603,
